Restaurant Name,Rating,Cuisine,Cost for One,Delivery Time,Offers,Link
House of Chow,4.1,"Chinese, Thai, Momos, Sichuan",₹150 for one,35 min,50% OFF,https://www.zomato.com/ncr/house-of-chow-1-east-patel-nagar-new-delhi/order
Sweet Truth - Cake and Desserts,4.3,"Desserts, Bakery, Ice Cream",₹200 for one,36 min,20% OFF,https://www.zomato.com/ncr/sweet-truth-cake-and-desserts-rajendra-place-new-delhi/order
Chacha Chap Corner,4.2,"North Indian, Rolls, Fast Food, Chinese, Momos",₹150 for one,28 min,No Offers,https://www.zomato.com/ncr/chacha-chap-corner-1-karol-bagh-new-delhi/order
Jhakkas Bombay Pav Bhaji,3.9,"Street Food, Maharashtrian, North Indian, Pizza, Sandwich, Beverages",₹100 for one,52 min,40% OFF,https://www.zomato.com/ncr/jhakkas-bombay-pav-bhaji-1-chandni-chowk-new-delhi/order
Bobby Tikki Wala,4.4,Street Food,₹100 for one,37 min,No Offers,https://www.zomato.com/ncr/bobby-tikki-wala-laxmi-nagar-new-delhi/order
Mad Over Donuts,4.4,"Desserts, Bakery, Beverages",₹200 for one,31 min,20% OFF,https://www.zomato.com/ncr/mad-over-donuts-1-rajendra-place-new-delhi/order
Dunkin' - Donuts & Coffee,4.4,"Desserts, Coffee, Bakery, Beverages",₹400 for one,22 min,20% OFF,https://www.zomato.com/ncr/dunkin-donuts-coffee-barakhamba-road-new-delhi/order
Nomad Pizza - Traveller Series,4.3,"Pizza, Italian, Fast Food, Desserts, Beverages",₹400 for one,25 min,₹100 OFF,https://www.zomato.com/ncr/nomad-pizza-traveller-series-connaught-place-new-delhi/order
34 Chowringhee Lane,4.2,"Rolls, Momos",₹100 for one,36 min,No Offers,https://www.zomato.com/ncr/34-chowringhee-lane-east-patel-nagar-new-delhi/order
Moolchand Parantha,4.4,"South Indian, North Indian, Chinese, Momos, Rolls, Beverages",₹200 for one,30 min,No Offers,https://www.zomato.com/ncr/moolchand-parantha-south-patel-nagar-new-delhi/order
The Biryani Life,4.2,"Biryani, Mughlai",₹200 for one,29 min,₹125 OFF,https://www.zomato.com/ncr/the-biryani-life-connaught-place-new-delhi/order
Burgerama,4.5,"Burger, Fast Food, Beverages",₹250 for one,46 min,40% OFF,https://www.zomato.com/ncr/burgerama-safdarjung-new-delhi/order
Sardar G Malai Chaap Junction,4.4,"North Indian, Rolls, Momos",₹200 for one,32 min,Flat 20% OFF,https://www.zomato.com/ncr/sardar-g-malai-chaap-junction-west-patel-nagar-new-delhi/order
UBQ by Barbeque Nation,4.2,"North Indian, BBQ, Biryani, Street Food, Kebab, Beverages, Desserts",₹600 for one,30 min,30% OFF,https://www.zomato.com/ncr/ubq-by-barbeque-nation-janpath-new-delhi/order
Momo Shomo,4.2,Momos,₹150 for one,38 min,Flat 20% OFF,https://www.zomato.com/ncr/momo-shomo-west-patel-nagar-new-delhi/order
Concept Shawarma,4.4,"North Indian, Chinese",₹200 for one,40 min,No Offers,https://www.zomato.com/ncr/concept-shawarma-defence-colony-new-delhi/order
Ghar ka Khana by EatFit,4.2,"North Indian, South Indian, Healthy Food, Desserts, Beverages, Andhra, Mithai, Pizza",₹200 for one,32 min,40% OFF,https://www.zomato.com/ncr/ghar-ka-khana-by-eatfit-paharganj-new-delhi/order
The Good Bowl,4.3,"North Indian, Biryani, Mughlai",₹200 for one,26 min,20% OFF,https://www.zomato.com/ncr/the-good-bowl-connaught-place-new-delhi/order
Manohar Bikkaneri,4.4,"Mithai, Fast Food, Chinese",₹150 for one,31 min,No Offers,https://www.zomato.com/ncr/manohar-bikkaneri-azad-market-new-delhi/order
Chili's Grill & Bar,4.3,"Mexican, Pizza, Pasta, American, Burger, Tex-Mex, Desserts","₹1,000 for one",24 min,₹125 OFF,https://www.zomato.com/ncr/chilis-grill-bar-connaught-place-new-delhi/order
NutrioBox,4.4,Salad,₹250 for one,32 min,₹200 OFF,https://www.zomato.com/ncr/nutriobox-rajinder-nagar-new-delhi/order
Bengali Sweet Corner,4.1,"Mithai, North Indian, Chinese, Street Food, South Indian, Cake",₹150 for one,42 min,No Offers,https://www.zomato.com/ncr/bengali-sweet-corner-south-extension-1-new-delhi/order
Caterspoint,4.2,"Salad, Healthy Food, Sandwich, Pasta, Middle Eastern, Mexican, Desserts, Beverages",₹400 for one,33 min,20% OFF,https://www.zomato.com/ncr/caterspoint-west-patel-nagar-new-delhi/order
Jain Chawal Wale,4.1,"North Indian, Chinese, Street Food, Beverages",₹200 for one,20 min,No Offers,https://www.zomato.com/ncr/jain-chawal-wale-connaught-place-new-delhi/order
Alkauser,4.1,"Mughlai, North Indian, Fast Food, Rolls, Biryani, Kebab, Lucknowi",₹300 for one,44 min,No Offers,https://www.zomato.com/ncr/alkauser-1-chanakyapuri-new-delhi/order
Kadimi Sweets,4.3,"Mithai, Street Food, North Indian",₹150 for one,41 min,No Offers,https://www.zomato.com/ncr/kadimi-sweets-jangpura-new-delhi/order
